PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP_REG,MIN_REG,FGA_REG,FGM_REG,FG_PCT_REG,FG3A_REG,FG3M_REG,FG3_PCT_REG,FTA_REG,FTM_REG,FT_PCT_REG,PTS_REG,AST_REG,TOV_REG,REB_REG,OREB_REG,DREB_REG,PLUS_MINUS_REG,TS_PCT_REG,EFG_PCT_REG,GP_CLU,MIN_CLU,FGA_CLU,FGM_CLU,FG_PCT_CLU,FG3A_CLU,FG3M_CLU,FG3_PCT_CLU,FTA_CLU,FTM_CLU,FT_PCT_CLU,PTS_CLU,AST_CLU,TOV_CLU,REB_CLU,OREB_CLU,DREB_CLU,PLUS_MINUS_CLU,TS_PCT_CLU,EFG_PCT_CLU,GP_PO,MIN_PO,FGA_PO,FGM_PO,FG_PCT_PO,FG3A_PO,FG3M_PO,FG3_PCT_PO,FTA_PO,FTM_PO,FT_PCT_PO,PTS_PO,AST_PO,TOV_PO,REB_PO,OREB_PO,DREB_PO,PLUS_MINUS_PO,TS_PCT_PO,EFG_PCT_PO,CLUTCH_SCORE,CLUTCH_SCORE_STD,SEASON
2544,LeBron James,1610612747,LAL,55.0,35.5,22.2,11.1,0.5,6.9,2.2,0.321,5.9,4.6,0.768,28.9,6.8,3.2,8.3,1.2,7.1,3.9,0.5827552831101791,0.5495495495495495,29.0,4.5,3.1,1.4,0.461,1.2,0.3,0.265,1.0,0.8,0.793,3.9,0.8,0.2,0.8,0.1,0.6,-0.2,0.5508474576271186,0.49999999999999994,16.0,38.7,18.4,9.2,0.498,6.6,1.8,0.264,5.8,4.4,0.761,24.5,6.5,2.5,9.9,1.6,8.3,0.8,0.5846697212676595,0.5489130434782609,0.5870405243245674,-0.8968958665382605,2022-23
2617,Udonis Haslem,1610612748,MIA,7.0,10.3,4.1,1.4,0.345,1.3,0.4,0.333,0.7,0.6,0.8,3.9,0.0,0.1,1.6,0.6,1.0,-3.6,0.442377495462795,0.3902439024390244,,,,,,,,,,,,,,,,,,,,,2.0,1.5,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,-2.5,0.0,0.0,0.11059437386569874,-9.34486152027406,2022-23
2738,Andre Iguodala,1610612744,GSW,8.0,14.1,1.9,0.9,0.467,1.1,0.1,0.111,0.4,0.3,0.667,2.1,2.4,1.1,2.1,0.4,1.8,4.4,0.5057803468208093,0.5000000000000001,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,0.16859344894026976,-8.316467873465239,2022-23
101108,Chris Paul,1610612756,PHX,59.0,32.0,11.3,5.0,0.44,4.4,1.7,0.375,2.7,2.3,0.831,13.9,8.9,1.9,4.3,0.5,3.8,1.4,0.5565342729019859,0.5176991150442477,25.0,3.9,1.5,0.6,0.421,0.6,0.2,0.357,0.7,0.4,0.647,1.9,0.8,0.1,0.5,0.1,0.4,-0.8,0.5254424778761062,0.4666666666666666,7.0,35.8,13.0,5.4,0.418,4.0,1.3,0.321,0.6,0.3,0.5,12.4,7.4,1.0,5.0,0.7,4.3,5.6,0.46743063932448736,0.46538461538461545,0.5148928607199545,-2.1761610752969816,2022-23
200752,Rudy Gay,1610612762,UTA,56.0,14.6,5.1,1.9,0.38,2.3,0.6,0.254,0.9,0.8,0.857,5.2,1.0,0.7,2.9,0.6,2.3,1.0,0.4730713245997089,0.4313725490196078,3.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.16357279447325937,-8.405490140631695,2022-23
200768,Kyle Lowry,1610612748,MIA,55.0,31.2,8.8,3.6,0.404,5.6,1.9,0.345,2.5,2.1,0.859,11.2,5.1,1.9,4.1,0.8,3.3,1.0,0.5656565656565656,0.5170454545454545,32.0,3.9,1.1,0.5,0.471,0.5,0.2,0.333,0.2,0.2,1.0,1.3,0.5,0.2,0.4,0.1,0.3,0.4,0.547138047138047,0.5454545454545454,23.0,26.1,7.6,3.2,0.425,3.8,1.4,0.375,1.4,1.3,0.939,9.2,4.4,1.7,3.5,0.5,3.0,0.7,0.5598831548198637,0.5131578947368421,0.5690970207306213,-1.2150558557067068,2022-23
200782,P.J. Tucker,1610612755,PHI,75.0,25.6,3.0,1.3,0.427,1.9,0.7,0.393,0.3,0.3,0.826,3.5,0.8,0.6,3.9,1.3,2.7,1.8,0.5587484035759898,0.5499999999999999,28.0,3.4,0.3,0.2,0.556,0.3,0.1,0.571,0.2,0.1,0.6,0.6,0.1,0.1,0.7,0.1,0.5,0.5,0.7731958762886597,0.8333333333333334,11.0,26.7,4.6,1.7,0.373,3.6,1.3,0.35,0.3,0.2,0.667,4.9,1.5,0.5,4.5,1.6,2.9,-0.9,0.5177514792899409,0.5108695652173914,0.6197324323338554,-0.3172288553732745,2022-23
201142,Kevin Durant,1610612756,PHX,47.0,35.6,18.3,10.3,0.56,4.9,2.0,0.404,7.1,6.5,0.919,29.1,5.0,3.3,6.7,0.4,6.3,5.5,0.6791448842419717,0.6174863387978142,21.0,3.3,2.0,0.9,0.463,0.8,0.3,0.438,1.0,0.8,0.8,2.9,0.3,0.2,0.5,0.0,0.5,2.8,0.5942622950819673,0.525,11.0,42.3,20.4,9.7,0.478,4.6,1.5,0.333,8.7,8.0,0.917,29.0,5.5,3.5,8.7,0.6,8.1,-0.5,0.5984810962522702,0.5122549019607843,0.6214477556084895,-0.2868141021105899,2022-23
201143,Al Horford,1610612738,BOS,63.0,30.5,7.6,3.6,0.476,5.2,2.3,0.446,0.3,0.2,0.714,9.8,3.0,0.6,6.2,1.2,5.0,4.9,0.6337299534402484,0.625,27.0,4.3,0.9,0.3,0.32,0.9,0.3,0.348,0.0,0.0,0.0,0.9,0.2,0.0,0.6,0.1,0.4,0.6,0.5,0.49999999999999994,20.0,30.8,6.6,2.6,0.386,4.7,1.4,0.298,0.2,0.2,0.75,6.7,3.0,0.6,7.2,1.5,5.7,3.0,0.5008971291866029,0.5,0.5345789954282758,-1.827102131887445,2022-23
201144,Mike Conley,1610612750,MIN,67.0,30.3,9.1,3.9,0.428,5.2,2.0,0.385,2.5,2.1,0.834,11.9,6.7,1.5,2.7,0.5,2.2,0.9,0.5833333333333334,0.5384615384615385,44.0,3.9,0.8,0.3,0.343,0.5,0.2,0.35,0.8,0.6,0.8,1.3,0.6,0.1,0.5,0.2,0.3,0.5,0.564236111111111,0.5,5.0,36.6,8.4,4.0,0.476,4.4,2.0,0.455,2.2,2.0,0.909,12.0,6.4,1.4,2.6,0.4,2.2,-3.4,0.6404782237403928,0.5952380952380952,0.6143312465863651,-0.412998401711933,2022-23
